"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16851","TC01 - Should fill and submit the complete enquiry form successfully","chromium","2026-04-30","passed","2026-04-30","Enquiry Form - Happy Path","geg\GEG-enquiry-form.spec.ts","",""
"","43325","TC16 - Should show error when mobile number is too long","chromium","2026-04-30","passed","2026-04-30","Enquiry Form - Mobile Field Validation","geg\GEG-enquiry-form-negative.spec.ts","",""
"","26262","TC10 - Should show error when email is too short (less than 5 characters)","chromium","2026-04-30","passed","2026-04-30","Enquiry Form - Email Field Validation","geg\GEG-enquiry-form-negative.spec.ts","",""
"","9942","TC04 - Should open Business Category dropdown and select an option","chromium","2026-04-30","passed","2026-04-30","Enquiry Form - Business Category Dropdown","geg\GEG-enquiry-form.spec.ts","",""
"","8423","TC13 - Should show error when email format is invalid (missing username)","chromium","2026-04-30","passed","2026-04-30","Enquiry Form - Email Field Validation","geg\GEG-enquiry-form-negative.spec.ts","",""
"","3777","#7 Unregistered or wrong credentials: ""test.comgmail@""","Chromium","2026-03-30","passed","2026-03-30","Negative Login Scenarios","invalid-login.spec.ts","",""
"","9066","#6 Invalid email format: ""123""","Chromium","2026-03-30","passed","2026-03-30","Negative Login Scenarios","invalid-login.spec.ts","",""
"","33058","TC15 - Should show error when mobile number is too short","chromium","2026-04-30","passed","2026-04-30","Enquiry Form - Mobile Field Validation","geg\GEG-enquiry-form-negative.spec.ts","",""
"","4058","#8 Invalid email format: ""OR 1=1 --""","Chromium","2026-03-30","passed","2026-03-30","Negative Login Scenarios","invalid-login.spec.ts","",""
"","10706","TC02 - Should show auto-suggestion and first result should match typed city","chromium","2026-04-30","passed","2026-04-30","Enquiry Form - City Auto-Suggestion","geg\GEG-enquiry-form.spec.ts","",""
"","3943","Invalid password for valid email: ""test@gmail.com""","Chromium","2026-03-27","passed","2026-03-27","Negative Login Scenarios","invalid-login.spec.ts","",""
"","9573","TC03 - Should open Business Unit dropdown and display all expected options","chromium","2026-04-30","passed","2026-04-30","Enquiry Form - Business Unit Dropdown","geg\GEG-enquiry-form.spec.ts","",""
"","8005","#3 Invalid password for valid email: ""test@test.com""","Chromium","2026-03-30","passed","2026-03-30","Negative Login Scenarios","invalid-login.spec.ts","",""
"","6742","Unregistered or wrong credentials: ""test@gmail.com""","Chromium","2026-03-27","passed","2026-03-27","Negative Login Scenarios","invalid-login.spec.ts","",""
"","6705","Invalid email format: ""testgmail.com""","Chromium","2026-03-27","passed","2026-03-27","Negative Login Scenarios","invalid-login.spec.ts","",""
